CustomerID,TransactionID,Date,Description,Merchant,Amount,Balance,SubscriptionFlag,Transaction_Type,Frequency,Next_Expected_Date
C53,T10317,2025-01-17,amazon prime subscription,amazon prime,-999,123,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C290,T57099,2025-01-18,amazon prime subscription,amazon prime,-999,102596,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C158,T31184,2025-01-19,amazon prime subscription,amazon prime,-999,15787,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C451,T89058,2025-01-20,amazon prime subscription,amazon prime,-999,26478,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C470,T92781,2025-01-21,amazon prime subscription,amazon prime,-999,151,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C473,T93368,2025-01-22,amazon prime subscription,amazon prime,-999,98490,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C113,T22271,2025-01-23,amazon prime subscription,amazon prime,-999,22616,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C162,T31991,2025-01-24,amazon prime subscription,amazon prime,-999,33970,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C432,T85290,2025-01-25,amazon prime subscription,amazon prime,-999,21619,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C257,T50596,2025-01-26,amazon prime subscription,amazon prime,-999,59327,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C300,T59082,2025-01-27,amazon prime subscription,amazon prime,-999,25896,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C352,T69426,2025-01-28,amazon prime subscription,amazon prime,-999,18,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C253,T49795,2025-02-01,amazon prime subscription,amazon prime,-999,42109,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C111,T21862,2025-02-02,amazon prime subscription,amazon prime,-999,28,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C405,T79929,2025-02-03,amazon prime subscription,amazon prime,-999,22033,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C443,T87486,2025-02-04,amazon prime subscription,amazon prime,-999,21405,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C137,T27039,2025-02-05,amazon prime subscription,amazon prime,-999,132522,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C10,T1834,2025-02-06,amazon prime subscription,amazon prime,-999,55,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C393,T77567,2025-02-07,amazon prime subscription,amazon prime,-999,57800,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C489,T96439,2025-02-08,amazon prime subscription,amazon prime,-999,73348,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C435,T85881,2025-02-09,amazon prime subscription,amazon prime,-999,11557,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C70,T13793,2025-02-10,amazon prime subscription,amazon prime,-999,68,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C296,T58304,2025-02-11,amazon prime subscription,amazon prime,-999,23453,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C108,T21252,2025-02-12,amazon prime subscription,amazon prime,-999,55061,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C52,T10143,2025-02-13,amazon prime subscription,amazon prime,-999,162386,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C260,T51203,2025-02-14,amazon prime subscription,amazon prime,-999,25157,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C33,T6395,2025-02-15,amazon prime subscription,amazon prime,-999,0,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C357,T70450,2025-02-16,amazon prime subscription,amazon prime,-999,1486,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C312,T61433,2025-02-17,amazon prime subscription,amazon prime,-999,128422,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C86,T16917,2025-02-18,amazon prime subscription,amazon prime,-999,43245,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C42,T8221,2025-02-19,amazon prime subscription,amazon prime,-999,15629,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C79,T15534,2025-02-20,amazon prime subscription,amazon prime,-999,49645,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C470,T92813,2025-02-21,amazon prime subscription,amazon prime,-999,28,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C376,T74284,2025-02-22,amazon prime subscription,amazon prime,-999,63763,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C294,T57939,2025-02-23,amazon prime subscription,amazon prime,-999,109410,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C208,T41026,2025-02-24,amazon prime subscription,amazon prime,-999,24739,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C432,T85324,2025-02-25,amazon prime subscription,amazon prime,-999,23270,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C254,T50035,2025-02-26,amazon prime subscription,amazon prime,-999,35945,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C460,T90893,2025-02-27,amazon prime subscription,amazon prime,-999,41,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C390,T76985,2025-02-28,amazon prime subscription,amazon prime,-999,41766,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C288,T56756,2025-03-01,amazon prime subscription,amazon prime,-999,4028,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C111,T21896,2025-03-02,amazon prime subscription,amazon prime,-999,28,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C209,T41247,2025-03-03,amazon prime subscription,amazon prime,-999,40038,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C21,T4062,2025-03-04,amazon prime subscription,amazon prime,-999,79803,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C137,T27063,2025-03-05,amazon prime subscription,amazon prime,-999,142039,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C94,T18532,2025-03-06,amazon prime subscription,amazon prime,-999,38,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C130,T25684,2025-03-07,amazon prime subscription,amazon prime,-999,4459,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C430,T84922,2025-03-08,amazon prime subscription,amazon prime,-999,95147,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C479,T94574,2025-03-09,amazon prime subscription,amazon prime,-999,1292,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C486,T95887,2025-03-10,amazon prime subscription,amazon prime,-999,176,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C474,T93617,2025-03-11,amazon prime subscription,amazon prime,-999,92577,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C456,T90105,2025-03-12,amazon prime subscription,amazon prime,-999,67629,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C52,T10171,2025-03-13,amazon prime subscription,amazon prime,-999,207099,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C16,T3099,2025-03-14,amazon prime subscription,amazon prime,-999,33710,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C259,T51041,2025-03-15,amazon prime subscription,amazon prime,-999,30553,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C7,T1264,2025-03-16,amazon prime subscription,amazon prime,-999,50762,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C278,T54798,2025-03-17,amazon prime subscription,amazon prime,-999,16775,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C116,T22908,2025-03-18,amazon prime subscription,amazon prime,-999,10867,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C76,T15008,2025-03-19,amazon prime subscription,amazon prime,-999,36142,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C451,T89122,2025-03-20,amazon prime subscription,amazon prime,-999,56601,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C470,T92849,2025-03-21,amazon prime subscription,amazon prime,-999,48623,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C252,T49643,2025-03-22,amazon prime subscription,amazon prime,-999,104923,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C294,T57962,2025-03-23,amazon prime subscription,amazon prime,-999,87224,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C71,T14018,2025-03-24,amazon prime subscription,amazon prime,-999,629,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C256,T50453,2025-03-25,amazon prime subscription,amazon prime,-999,5463,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C257,T50666,2025-03-26,amazon prime subscription,amazon prime,-999,68665,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C347,T68494,2025-03-27,amazon prime subscription,amazon prime,-999,18746,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C352,T69494,2025-03-28,amazon prime subscription,amazon prime,-999,22046,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C466,T92121,2025-04-01,amazon prime subscription,amazon prime,-999,44638,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C243,T47924,2025-04-02,amazon prime subscription,amazon prime,-999,0,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C307,T60503,2025-04-03,amazon prime subscription,amazon prime,-999,35875,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C453,T89563,2025-04-04,amazon prime subscription,amazon prime,-999,83347,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C212,T41808,2025-04-05,amazon prime subscription,amazon prime,-999,205219,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C247,T48719,2025-04-06,amazon prime subscription,amazon prime,-999,81510,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C246,T48526,2025-04-07,amazon prime subscription,amazon prime,-999,86437,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C123,T24303,2025-04-08,amazon prime subscription,amazon prime,-999,132151,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C465,T91910,2025-04-09,amazon prime subscription,amazon prime,-999,84216,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C445,T87956,2025-04-10,amazon prime subscription,amazon prime,-999,11,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C474,T93641,2025-04-11,amazon prime subscription,amazon prime,-999,136245,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C485,T95744,2025-04-12,amazon prime subscription,amazon prime,-999,116977,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C416,T82193,2025-04-13,amazon prime subscription,amazon prime,-999,157596,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C161,T31891,2025-04-14,amazon prime subscription,amazon prime,-999,50124,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C190,T37517,2025-04-15,amazon prime subscription,amazon prime,-999,74,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C357,T70520,2025-04-16,amazon prime subscription,amazon prime,-999,95103,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C457,T90336,2025-04-17,amazon prime subscription,amazon prime,-999,47279,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C350,T69136,2025-04-18,amazon prime subscription,amazon prime,-999,91380,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C158,T31289,2025-04-19,amazon prime subscription,amazon prime,-999,57273,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C451,T89156,2025-04-20,amazon prime subscription,amazon prime,-999,22641,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C255,T50289,2025-04-21,amazon prime subscription,amazon prime,-999,88807,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C58,T11458,2025-04-22,amazon prime subscription,amazon prime,-999,11261,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C494,T97467,2025-04-23,amazon prime subscription,amazon prime,-999,41593,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C162,T32079,2025-04-24,amazon prime subscription,amazon prime,-999,44081,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C149,T29482,2025-04-25,amazon prime subscription,amazon prime,-999,26077,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C200,T39530,2025-04-26,amazon prime subscription,amazon prime,-999,655,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C325,T64135,2025-04-27,amazon prime subscription,amazon prime,-999,7854,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C352,T69529,2025-04-28,amazon prime subscription,amazon prime,-999,39,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C276,T54456,2025-05-01,amazon prime subscription,amazon prime,-999,129794,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C241,T47596,2025-05-02,amazon prime subscription,amazon prime,-999,31354,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C405,T80032,2025-05-03,amazon prime subscription,amazon prime,-999,59557,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C13,T2554,2025-05-04,amazon prime subscription,amazon prime,-999,71470,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C212,T41851,2025-05-05,amazon prime subscription,amazon prime,-999,163621,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C339,T66946,2025-05-06,amazon prime subscription,amazon prime,-999,163892,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C346,T68330,2025-05-07,amazon prime subscription,amazon prime,-999,22589,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C123,T24336,2025-05-08,amazon prime subscription,amazon prime,-999,173759,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C110,T21775,2025-05-09,amazon prime subscription,amazon prime,-999,106264,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C47,T9264,2025-05-10,amazon prime subscription,amazon prime,-999,106212,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C474,T93676,2025-05-11,amazon prime subscription,amazon prime,-999,96572,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C485,T95767,2025-05-12,amazon prime subscription,amazon prime,-999,93625,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C416,T82226,2025-05-13,amazon prime subscription,amazon prime,-999,182762,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C182,T36010,2025-05-14,amazon prime subscription,amazon prime,-999,18257,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C33,T6489,2025-05-15,amazon prime subscription,amazon prime,-999,42605,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C28,T5539,2025-05-16,amazon prime subscription,amazon prime,-999,26748,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C278,T54865,2025-05-17,amazon prime subscription,amazon prime,-999,81,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C61,T12064,2025-05-18,amazon prime subscription,amazon prime,-999,56537,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C369,T73000,2025-05-19,amazon prime subscription,amazon prime,-999,22790,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C79,T15629,2025-05-20,amazon prime subscription,amazon prime,-999,25822,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C408,T80645,2025-05-21,amazon prime subscription,amazon prime,-999,19139,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C436,T86192,2025-05-22,amazon prime subscription,amazon prime,-999,44984,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C113,T22401,2025-05-23,amazon prime subscription,amazon prime,-999,10884,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C159,T31541,2025-05-24,amazon prime subscription,amazon prime,-999,78523,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C149,T29520,2025-05-25,amazon prime subscription,amazon prime,-999,6,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C200,T39568,2025-05-26,amazon prime subscription,amazon prime,-999,167,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C306,T60386,2025-05-27,amazon prime subscription,amazon prime,-999,181554,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C352,T69555,2025-05-28,amazon prime subscription,amazon prime,-999,39,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C63,T12498,2025-06-01,amazon prime subscription,amazon prime,-999,41249,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C178,T35269,2025-06-02,amazon prime subscription,amazon prime,-999,122991,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C209,T41331,2025-06-03,amazon prime subscription,amazon prime,-999,130,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C403,T79669,2025-06-04,amazon prime subscription,amazon prime,-999,16589,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C452,T89420,2025-06-05,amazon prime subscription,amazon prime,-999,26638,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C421,T83270,2025-06-06,amazon prime subscription,amazon prime,-999,109923,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C393,T77709,2025-06-07,amazon prime subscription,amazon prime,-999,113956,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C12,T2376,2025-06-08,amazon prime subscription,amazon prime,-999,55512,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C435,T86018,2025-06-09,amazon prime subscription,amazon prime,-999,85911,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C445,T88031,2025-06-10,amazon prime subscription,amazon prime,-999,139165,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C100,T19839,2025-06-11,amazon prime subscription,amazon prime,-999,93024,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C485,T95797,2025-06-12,amazon prime subscription,amazon prime,-999,97543,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C126,T24965,2025-06-13,amazon prime subscription,amazon prime,-999,23756,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C16,T3197,2025-06-14,amazon prime subscription,amazon prime,-999,25317,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C354,T69961,2025-06-15,amazon prime subscription,amazon prime,-999,77,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C194,T38386,2025-06-16,amazon prime subscription,amazon prime,-999,75442,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C278,T54903,2025-06-17,amazon prime subscription,amazon prime,-999,36506,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C277,T54709,2025-06-18,amazon prime subscription,amazon prime,-999,25374,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C76,T15111,2025-06-19,amazon prime subscription,amazon prime,-999,92220,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C275,T54323,2025-06-20,amazon prime subscription,amazon prime,-999,20328,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C138,T27380,2025-06-21,amazon prime subscription,amazon prime,-999,50301,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C436,T86223,2025-06-22,amazon prime subscription,amazon prime,-999,12427,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C251,T49553,2025-06-23,amazon prime subscription,amazon prime,-999,14794,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C3,T586,2025-06-24,amazon prime subscription,amazon prime,-999,86441,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C432,T85461,2025-06-25,amazon prime subscription,amazon prime,-999,17499,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C254,T50168,2025-06-26,amazon prime subscription,amazon prime,-999,115266,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C134,T26578,2025-06-27,amazon prime subscription,amazon prime,-999,147455,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C390,T77122,2025-06-28,amazon prime subscription,amazon prime,-999,199,1,Subscription,Irregular,2025-06-29 01:34:51.017964071
C241,T47462,2025-01-01,payment to cafe coffee day,cafe coffee day,-1935,14499,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C425,T83867,2025-01-02,payment to cafe coffee day,cafe coffee day,-1892,6989,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C243,T47836,2025-01-03,payment to cafe coffee day,cafe coffee day,-660,3917,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C242,T47660,2025-01-04,payment to cafe coffee day,cafe coffee day,-1683,28997,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C128,T25205,2025-01-05,payment to cafe coffee day,cafe coffee day,-213,2,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C176,T34723,2025-01-06,payment to cafe coffee day,cafe coffee day,-397,4642,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C438,T86446,2025-01-07,payment to cafe coffee day,cafe coffee day,-589,665,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C209,T41181,2025-01-08,payment to cafe coffee day,cafe coffee day,-746,7816,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C8,T1392,2025-01-09,payment to cafe coffee day,cafe coffee day,-1662,39350,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C156,T30773,2025-01-10,payment to cafe coffee day,cafe coffee day,-1522,167,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C57,T11155,2025-01-11,payment to cafe coffee day,cafe coffee day,-531,49,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C487,T96027,2025-01-12,payment to cafe coffee day,cafe coffee day,-1434,44541,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C496,T97745,2025-01-13,payment to cafe coffee day,cafe coffee day,-890,27375,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C198,T39027,2025-01-14,payment to cafe coffee day,cafe coffee day,-1667,39434,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C452,T89267,2025-01-15,payment to cafe coffee day,cafe coffee day,-1407,44880,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C242,T47678,2025-01-16,payment to cafe coffee day,cafe coffee day,-403,9090,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C244,T48031,2025-01-17,payment to cafe coffee day,cafe coffee day,-276,26294,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C297,T58483,2025-01-18,payment to cafe coffee day,cafe coffee day,-1528,34512,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C235,T46261,2025-01-19,payment to cafe coffee day,cafe coffee day,-828,37282,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C426,T84068,2025-01-20,payment to cafe coffee day,cafe coffee day,-935,51585,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C192,T37840,2025-01-21,payment to cafe coffee day,cafe coffee day,-1424,53120,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C337,T66436,2025-01-22,payment to cafe coffee day,cafe coffee day,-317,122284,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C391,T77142,2025-01-23,payment to cafe coffee day,cafe coffee day,-220,70625,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C294,T57902,2025-01-24,payment to cafe coffee day,cafe coffee day,-1455,82185,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C280,T55121,2025-01-25,payment to cafe coffee day,cafe coffee day,-626,482,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C255,T50200,2025-01-26,payment to cafe coffee day,cafe coffee day,-1555,79964,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C422,T83317,2025-01-27,payment to cafe coffee day,cafe coffee day,-1712,140,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C388,T76567,2025-01-28,payment to cafe coffee day,cafe coffee day,-1823,21195,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C150,T29583,2025-01-29,payment to cafe coffee day,cafe coffee day,-383,140,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C38,T7377,2025-01-30,payment to cafe coffee day,cafe coffee day,-155,48712,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C343,T67622,2025-01-31,payment to cafe coffee day,cafe coffee day,-718,51521,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C401,T79152,2025-02-01,payment to cafe coffee day,cafe coffee day,-1312,60164,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C366,T72269,2025-02-02,payment to cafe coffee day,cafe coffee day,-1406,29340,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C287,T56532,2025-02-03,payment to cafe coffee day,cafe coffee day,-354,79032,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C475,T93776,2025-02-04,payment to cafe coffee day,cafe coffee day,-1771,32923,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C48,T9362,2025-02-05,payment to cafe coffee day,cafe coffee day,-1225,43,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C386,T76185,2025-02-06,payment to cafe coffee day,cafe coffee day,-1133,69417,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C98,T19296,2025-02-07,payment to cafe coffee day,cafe coffee day,-684,58949,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C293,T57728,2025-02-08,payment to cafe coffee day,cafe coffee day,-1026,35622,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C11,T2039,2025-02-09,payment to cafe coffee day,cafe coffee day,-603,2741,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C423,T83519,2025-02-10,payment to cafe coffee day,cafe coffee day,-1645,36649,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C26,T5007,2025-02-11,payment to cafe coffee day,cafe coffee day,-1783,101,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C304,T59909,2025-02-12,payment to cafe coffee day,cafe coffee day,-1190,38370,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
C329,T64844,2025-02-13,payment to cafe coffee day,cafe coffee day,-1451,56476,0,Non-Subscription,Irregular,2025-06-30 00:00:00.000000000
