CustomerID,Merchant,Predicted_Amount,Balance,Risk_Level
C104,medical store,-1060.65,144,Low
C104,netflix,-499.0,144,Low
C104,petrol pump,-884.38,144,Low
C104,reliance smart,-1062.5,144,Low
C104,uber,-961.65,144,Low
C105,electricity bill,-1500.0,125346,Low
C105,gym membership,-1200.0,123532,Low
C105,medical store,-1121.86,113656,Low
C105,petrol pump,-968.1,112177,Low
C105,swiggy,-1012.82,111376,Low
C105,zomato,-1224.35,119775,Low
C106,cafe coffee day,-1143.0,54573,Low
C106,dmart,-993.26,53211,Low
C106,electricity bill,-1500.0,72141,Low
C106,flipkart,-909.85,77399,Low
C106,gym membership,-1200.0,58528,Low
C106,medical store,-1105.15,59728,Low
C106,petrol pump,-1186.22,60294,Low
C106,reliance smart,-1068.42,67311,Low
C106,spotify,-199.0,67112,Low
C106,swiggy,-1036.53,73641,Low
C106,uber,-1095.09,57238,Low
C107,cafe coffee day,-1149.37,154093,Low
C107,dmart,-1145.8,150351,Low
C107,electricity bill,-1500.0,156339,Low
C107,medical store,-1057.45,170030,Low
C107,petrol pump,-950.32,154396,Low
C107,reliance smart,-1140.26,179633,Low
C107,uber,-1249.27,148445,Low
C108,amazon prime,-999.0,36,Low
C108,dmart,-868.25,36,Low
C108,flipkart,-853.41,36,Low
C108,gym membership,-1200.0,36,Low
C108,petrol pump,-1055.67,36,Low
C108,swiggy,-920.48,36,Low
C108,uber,-1103.04,36,Low
C108,zomato,-938.83,36,Low
C109,cafe coffee day,-1150.25,18388,Low
C109,netflix,-499.0,12230,Low
C109,reliance smart,-1019.79,26943,Low
C109,spotify,-199.0,41414,Low
C109,swiggy,-1142.71,27515,Low
C109,uber,-985.12,25308,Low
C11,cafe coffee day,-902.39,66028,Low
C11,dmart,-1288.38,58770,Low
C11,flipkart,-1256.74,55819,Low
C11,medical store,-772.82,63098,Low
C11,netflix,-499.0,74129,Low
C11,swiggy,-1039.26,62238,Low
C11,uber,-955.81,80213,Low
C11,zomato,-1116.11,67867,Low
C110,amazon prime,-999.0,77931,Low
C110,cafe coffee day,-1050.78,55628,Low
C110,dmart,-1055.89,61395,Low
C110,flipkart,-1069.64,55883,Low
C110,petrol pump,-863.83,63915,Low
C110,reliance smart,-1057.19,64474,Low
C110,uber,-1009.53,81858,Low
C110,zomato,-1105.86,58671,Low
C111,amazon prime,-999.0,22299,Low
C111,cafe coffee day,-1028.14,29508,Low
C111,company,36866.67,40394,Low
C111,dmart,-1001.36,18522,Low
C111,flipkart,-1090.83,22284,Low
C111,netflix,-499.0,21800,Low
C111,petrol pump,-982.12,21806,Low
C111,swiggy,-910.96,30187,Low
C111,uber,-1028.35,14223,Low
C112,amazon prime,-999.0,106218,Low
C112,cafe coffee day,-1054.39,100645,Low
C112,electricity bill,-1500.0,96546,Low
C112,medical store,-1097.75,90776,Low
C112,netflix,-499.0,98945,Low
C112,petrol pump,-1014.61,98046,Low
C112,swiggy,-999.13,98228,Low
C112,uber,-1100.57,92856,Low
C112,zomato,-1057.37,94692,Low
C113,amazon prime,-999.0,27165,Low
C113,cafe coffee day,-1019.7,26251,Low
C113,dmart,-982.89,24312,Low
C113,gym membership,-1200.0,46411,Low
C113,medical store,-888.11,32649,Low
C113,petrol pump,-1030.43,24655,Low
C113,reliance smart,-1067.8,31549,Low
C113,spotify,-199.0,33055,Low
C113,swiggy,-929.1,30827,Low
C114,amazon prime,-999.0,103654,Low
C114,cafe coffee day,-920.93,86186,Low
C114,flipkart,-933.2,89641,Low
C114,swiggy,-1023.41,86961,Low
C114,uber,-1119.68,86294,Low
C115,cafe coffee day,-1055.96,22606,Low
C115,flipkart,-1004.04,19872,Low
C115,gym membership,-1200.0,46571,Low
C115,netflix,-499.0,20948,Low
C115,petrol pump,-1119.94,31444,Low
C115,reliance smart,-1173.86,16858,Low
C115,uber,-1022.73,17307,Low
C115,zomato,-1280.5,18232,Low
C116,amazon prime,-999.0,73681,Low
C116,company,36335.17,95344,Low
C116,dmart,-1146.95,61810,Low
C116,electricity bill,-1500.0,79529,Low
C116,flipkart,-851.1,69737,Low
C116,petrol pump,-1163.79,63219,Low
C116,reliance smart,-908.11,59650,Low
C116,spotify,-199.0,87049,Low
C116,uber,-939.79,60927,Low
C117,dmart,-973.62,73734,Low
C117,flipkart,-1167.19,59268,Low
C117,petrol pump,-1185.74,70348,Low
C117,reliance smart,-1256.05,56809,Low
C117,spotify,-199.0,63654,Low
C117,uber,-984.22,72010,Low
C117,zomato,-1002.95,67056,Low
C118,amazon prime,-999.0,273898,Low
C118,cafe coffee day,-1248.0,272711,Low
C118,dmart,-870.79,268709,Low
C118,medical store,-1028.0,265452,Low
C118,petrol pump,-967.52,274897,Low
C118,spotify,-199.0,294451,Low
C119,cafe coffee day,-985.79,79160,Low
C119,company,37492.17,93444,Low
C119,electricity bill,-1500.0,69676,Low
C119,flipkart,-997.67,66840,Low
C119,medical store,-1024.81,79657,Low
C119,petrol pump,-997.83,65421,Low
C119,spotify,-199.0,90767,Low
C119,swiggy,-1044.12,86199,Low
C119,uber,-961.6,72096,Low
C12,amazon prime,-999.0,55512,Low
C12,cafe coffee day,-1141.0,47691,Low
C12,dmart,-1050.25,33579,Low
C12,flipkart,-1036.58,39115,Low
C12,gym membership,-1200.0,44782,Low
C12,reliance smart,-1144.05,45982,Low
C12,spotify,-199.0,42194,Low
C12,swiggy,-998.23,42782,Low
C12,uber,-1166.19,36055,Low
C12,zomato,-1064.65,34898,Low
C120,cafe coffee day,-980.53,71262,Low
C120,company,36372.0,83018,Low
C120,dmart,-888.43,60232,Low
C120,gym membership,-1200.0,66062,Low
C120,medical store,-1184.1,67262,Low
C120,netflix,-499.0,60754,Low
C120,petrol pump,-1106.67,70836,Low
C120,reliance smart,-1019.86,54652,Low
C120,spotify,-199.0,71639,Low
C120,uber,-1208.67,52155,Low
C120,zomato,-1102.95,51041,Low
C121,cafe coffee day,-1050.88,104271,Low
C121,dmart,-1131.91,88923,Low
C121,electricity bill,-1500.0,115787,Low
C121,flipkart,-1308.68,87002,Low
C121,medical store,-953.41,96082,Low
C121,petrol pump,-918.3,102031,Low
C121,reliance smart,-1050.54,85494,Low
C121,swiggy,-1084.17,84004,Low
C121,uber,-1013.33,85890,Low
C121,zomato,-905.26,89557,Low
C122,cafe coffee day,-963.82,182627,Low
C122,dmart,-1177.53,178517,Low
C122,electricity bill,-1500.0,198755,Low
C122,medical store,-938.67,191902,Low
C122,petrol pump,-1035.83,174618,Low
C122,reliance smart,-1042.72,183218,Low
C122,swiggy,-1127.0,174792,Low
C122,uber,-913.85,189841,Low
C122,zomato,-877.11,183029,Low
C123,amazon prime,-999.0,180871,Low
C123,flipkart,-932.64,185250,Low
C123,gym membership,-1200.0,186717,Low
C123,medical store,-840.24,161329,Low
C123,petrol pump,-994.37,164686,Low
C123,reliance smart,-998.68,162753,Low
C123,swiggy,-1129.5,169650,Low
C123,uber,-1173.56,167730,Low
C124,amazon prime,-999.0,79173,Low
C124,cafe coffee day,-1270.35,54962,Low
C124,company,36248.71,83998,Low
C124,electricity bill,-1500.0,70835,Low
C124,flipkart,-1194.22,56146,Low
C124,medical store,-994.21,64642,Low
C124,petrol pump,-1081.63,58570,Low
C124,reliance smart,-1034.94,47653,Low
C124,spotify,-199.0,70636,Low
C124,zomato,-1093.28,52260,Low
C125,amazon prime,-999.0,45,Low
C125,cafe coffee day,-1013.15,45,Low
C125,company,33039.75,47344,Low
C125,electricity bill,-1500.0,45,Low
C125,medical store,-1145.26,45,Low
C125,petrol pump,-756.75,45,Low
C125,reliance smart,-1068.54,45,Low
C125,spotify,-199.0,45,Low
C125,swiggy,-1070.29,45,Low
C125,uber,-1058.19,45,Low
C125,zomato,-948.76,45,Low
C126,amazon prime,-999.0,23756,Low
C126,cafe coffee day,-965.67,22575,Low
C126,dmart,-1074.78,13582,Low
C126,flipkart,-1234.73,12614,Low
C126,medical store,-1157.16,4528,Low
C126,petrol pump,-1201.78,24755,Low
C126,reliance smart,-928.58,8702,Low
C126,swiggy,-1330.87,33022,Low
C127,cafe coffee day,-978.23,47534,Low
C127,company,32866.8,62017,Low
C127,dmart,-812.4,61374,Low
C127,flipkart,-1094.35,39056,Low
C127,gym membership,-1200.0,57370,Low
C127,medical store,-1206.95,43243,Low
C127,netflix,-499.0,49560,Low
C127,petrol pump,-972.68,37381,Low
C127,reliance smart,-1153.33,40429,Low
C127,spotify,-199.0,53585,Low
C127,swiggy,-1280.3,38632,Low
C127,uber,-1142.19,52270,Low
C128,cafe coffee day,-1059.09,35924,Low
C128,dmart,-1122.85,53957,Low
C128,gym membership,-1200.0,36338,Low
C128,medical store,-925.68,51317,Low
C128,netflix,-499.0,56400,Low
C128,petrol pump,-963.0,40517,Low
C128,reliance smart,-1047.28,42399,Low
C128,spotify,-199.0,45441,Low
C128,swiggy,-1123.78,34075,Low
C128,uber,-1150.86,32033,Low
C128,zomato,-1144.94,33764,Low
C129,dmart,-945.18,151385,Low
C129,electricity bill,-1500.0,136593,Low
C129,flipkart,-949.35,133479,Low
C129,medical store,-1337.52,142857,Low
C129,reliance smart,-1216.47,138894,Low
C129,uber,-776.86,150367,Low
C129,zomato,-839.81,138093,Low
C13,amazon prime,-999.0,36503,Low
C13,cafe coffee day,-899.59,59404,Low
C13,company,37231.17,77313,Low
C13,dmart,-958.19,53597,Low
C13,electricity bill,-1500.0,37502,Low
C13,flipkart,-1117.14,50668,Low
C13,medical store,-1255.68,56213,Low
C13,petrol pump,-1035.35,48986,Low
C13,reliance smart,-1066.9,47278,Low
C13,spotify,-199.0,66389,Low
C13,swiggy,-1032.14,69257,Low
C13,uber,-971.85,57999,Low
C13,zomato,-1054.79,49439,Low
C130,amazon prime,-999.0,22997,Low
C130,cafe coffee day,-1062.45,18011,Low
C130,electricity bill,-1500.0,26342,Low
C130,gym membership,-1200.0,10963,Low
C130,medical store,-990.63,7543,Low
C130,petrol pump,-942.17,22411,Low
C130,reliance smart,-1141.68,5586,Low
C130,swiggy,-1237.21,765,Low
C130,uber,-1094.86,765,Low
C130,zomato,-826.62,4852,Low
C131,cafe coffee day,-1150.36,172708,Low
C131,gym membership,-1200.0,200138,Low
C131,medical store,-1194.07,155358,Low
C131,reliance smart,-1410.39,174636,Low
C131,swiggy,-1171.82,182354,Low
C131,uber,-972.15,168674,Low
C132,cafe coffee day,-1173.96,252650,Low
C132,dmart,-964.56,254129,Low
C132,gym membership,-1200.0,266113,Low
C132,netflix,-499.0,255101,Low
C132,spotify,-199.0,247838,Low
C132,swiggy,-1025.85,246659,Low
C132,uber,-1037.82,250340,Low
C132,zomato,-961.67,245350,Low
C133,cafe coffee day,-1027.9,87808,Low
C133,company,37805.29,107242,Low
C133,dmart,-933.37,91408,Low
C133,electricity bill,-1500.0,78535,Low
C133,flipkart,-1151.67,80035,Low
C133,medical store,-923.52,70999,Low
C133,netflix,-499.0,106743,Low
C133,petrol pump,-1077.5,76577,Low
C133,reliance smart,-1116.18,96874,Low
C133,swiggy,-1069.09,82397,Low
C133,uber,-1220.79,76077,Low
C133,zomato,-1038.47,95245,Low
C134,amazon prime,-999.0,147455,Low
C134,dmart,-951.12,144567,Low
C134,flipkart,-1105.2,142555,Low
C134,medical store,-950.8,149921,Low
C134,netflix,-499.0,157621,Low
C134,petrol pump,-973.5,148454,Low
C134,reliance smart,-916.77,154208,Low
C134,spotify,-199.0,159828,Low
C134,uber,-945.05,144167,Low
C135,company,35662.17,117083,Low
C135,electricity bill,-1500.0,107752,Low
C135,flipkart,-1068.42,92077,Low
C135,gym membership,-1200.0,94231,Low
C135,medical store,-916.47,93831,Low
C135,netflix,-499.0,112922,Low
C135,petrol pump,-849.74,99494,Low
C135,reliance smart,-877.62,95431,Low
C135,swiggy,-979.18,100303,Low
C135,zomato,-866.5,96020,Low
C136,dmart,-1042.7,30288,Low
C136,electricity bill,-1500.0,46646,Low
C136,flipkart,-1112.32,60581,Low
C136,gym membership,-1200.0,48669,Low
C136,medical store,-1082.27,36605,Low
C136,netflix,-499.0,57058,Low
C136,petrol pump,-1213.28,31647,Low
C136,reliance smart,-1248.3,25793,Low
C136,uber,-1182.6,26274,Low
C136,zomato,-983.77,31477,Low
C137,amazon prime,-999.0,68778,Low
C137,cafe coffee day,-951.07,40093,Low
C137,company,36511.5,69777,Low
C137,dmart,-1143.94,55305,Low
C137,flipkart,-1033.21,41036,Low
C137,gym membership,-1200.0,35618,Low
C137,medical store,-731.94,57815,Low
C137,petrol pump,-1232.88,38090,Low
C137,reliance smart,-988.82,65792,Low
C137,spotify,-199.0,54150,Low
C137,uber,-1012.19,43826,Low
C137,zomato,-1460.44,48177,Low
C138,amazon prime,-999.0,50301,Low
C138,dmart,-1082.15,36372,Low
C138,electricity bill,-1500.0,61397,Low
C138,flipkart,-1094.76,56942,Low
C138,medical store,-937.41,38621,Low
C138,petrol pump,-1183.3,40413,Low
C138,reliance smart,-1166.46,47622,Low
C138,swiggy,-1007.39,38000,Low
C139,cafe coffee day,-994.0,36564,Low
C139,company,33387.71,65998,Low
C139,dmart,-1005.33,37528,Low
C139,electricity bill,-1500.0,57139,Low
C139,flipkart,-1076.65,40351,Low
C139,petrol pump,-1145.12,55414,Low
C139,reliance smart,-949.46,49542,Low
C139,uber,-986.15,42514,Low
C139,zomato,-1067.55,60980,Low
C14,cafe coffee day,-922.85,180,Low
C14,dmart,-970.76,180,Low
C14,electricity bill,-1500.0,180,Low
C14,flipkart,-1076.55,180,Low
C14,medical store,-1169.87,180,Low
C14,netflix,-499.0,180,Low
C14,reliance smart,-918.57,180,Low
C14,zomato,-1307.81,8808,Low
C140,amazon prime,-999.0,65251,Low
C140,dmart,-1043.85,47887,Low
C140,flipkart,-931.43,56029,Low
C140,petrol pump,-1207.35,67395,Low
C140,reliance smart,-934.0,55301,Low
C140,spotify,-199.0,70632,Low
C140,uber,-924.81,52965,Low
C140,zomato,-1233.0,51068,Low
C141,amazon prime,-999.0,19420,Low
C141,cafe coffee day,-1121.63,14291,Low
C141,dmart,-1000.61,14165,Low
C141,flipkart,-987.7,9607,Low
C141,netflix,-499.0,32667,Low
C141,petrol pump,-1098.5,20419,Low
C141,reliance smart,-958.05,17014,Low
C141,spotify,-199.0,27214,Low
C141,swiggy,-1170.56,25223,Low
C141,uber,-1147.17,8069,Low
C141,zomato,-786.65,16601,Low
C142,cafe coffee day,-1175.85,123900,Low
C142,dmart,-1252.42,126746,Low
C142,electricity bill,-1500.0,130069,Low
C142,reliance smart,-965.0,146317,Low
C142,swiggy,-1077.86,119163,Low
C142,uber,-822.12,140839,Low
C143,cafe coffee day,-1056.33,45,Low
C143,dmart,-1103.47,45,Low
C143,flipkart,-1181.96,45,Low
C143,gym membership,-1200.0,12708,Low
C143,medical store,-1215.84,45,Low
C143,reliance smart,-1172.5,45,Low
C143,swiggy,-1112.1,45,Low
C143,uber,-1112.2,6221,Low
C143,zomato,-1039.06,45,Low
C144,flipkart,-1193.71,22003,Low
C144,medical store,-926.58,33445,Low
C144,netflix,-499.0,54802,Low
C144,petrol pump,-1128.5,23579,Low
C144,reliance smart,-1075.56,19609,Low
C144,spotify,-199.0,55301,Low
C144,swiggy,-895.59,21429,Low
C144,uber,-1029.5,51729,Low
C145,electricity bill,-1500.0,47867,Low
C145,gym membership,-1200.0,39501,Low
C145,medical store,-1158.62,19749,Low
C145,petrol pump,-945.59,28774,Low
C145,reliance smart,-1047.72,17067,Low
C145,swiggy,-925.05,29933,Low
C145,zomato,-1017.46,30789,Low
C146,amazon prime,-999.0,10804,Low
C146,cafe coffee day,-1005.35,308,Low
C146,electricity bill,-1500.0,16223,Low
C146,flipkart,-1128.47,308,Low
C146,medical store,-984.13,308,Low
C146,petrol pump,-1162.74,308,Low
C146,swiggy,-1041.75,308,Low
C146,uber,-1111.3,308,Low
C147,cafe coffee day,-1210.29,2152,Low
C147,dmart,-932.0,118,Low
C147,flipkart,-859.7,118,Low
C147,netflix,-499.0,118,Low
C147,petrol pump,-901.83,118,Low
C147,spotify,-199.0,9364,Low
C147,swiggy,-920.3,118,Low
C147,uber,-997.54,929,Low
C148,cafe coffee day,-1368.55,105592,Low
C148,electricity bill,-1500.0,125062,Low
C148,flipkart,-966.28,116814,Low
C148,gym membership,-1200.0,116997,Low
C148,spotify,-199.0,118197,Low
C149,amazon prime,-999.0,6,Low
C149,company,39412.5,56045,Low
C149,dmart,-1054.61,6,Low
C149,flipkart,-926.81,6,Low
C149,gym membership,-1200.0,6,Low
C149,medical store,-1082.9,6,Low
C149,reliance smart,-1154.21,6,Low
C149,spotify,-199.0,6,Low
C149,swiggy,-1128.3,6,Low
C149,uber,-1084.5,6,Low
C149,zomato,-1071.27,6,Low
C15,dmart,-1315.12,106293,Low
C15,electricity bill,-1500.0,128393,Low
C15,flipkart,-921.73,98924,Low
C15,medical store,-1024.94,113813,Low
C15,petrol pump,-1191.88,99914,Low
C15,reliance smart,-942.6,104253,Low
C15,swiggy,-825.05,102026,Low
C15,zomato,-1132.23,97051,Low
C150,amazon prime,-999.0,30082,Low
C150,cafe coffee day,-1116.66,11344,Low
C150,company,28377.2,35375,Low
C150,dmart,-904.45,6827,Low
C150,flipkart,-935.81,10512,Low
C150,medical store,-1348.25,3146,Low
C150,swiggy,-999.53,14511,Low
C150,zomato,-1170.86,17740,Low
C151,dmart,-879.9,45765,Low
C151,electricity bill,-1500.0,52448,Low
C151,gym membership,-1200.0,39560,Low
C151,medical store,-863.94,36747,Low
C151,netflix,-499.0,58422,Low
C151,petrol pump,-959.2,66453,Low
C151,reliance smart,-1138.84,33786,Low
C151,swiggy,-896.21,42509,Low
C151,uber,-1019.11,43953,Low
C151,zomato,-927.96,36233,Low
C152,amazon prime,-999.0,72891,Low
C152,cafe coffee day,-1037.7,63965,Low
C152,dmart,-882.73,60211,Low
C152,flipkart,-1159.21,60809,Low
C152,medical store,-907.5,81304,Low
C152,netflix,-499.0,61411,Low
C152,petrol pump,-1226.22,68400,Low
C152,reliance smart,-1023.0,62090,Low
C152,spotify,-199.0,68201,Low
C152,swiggy,-1219.44,65540,Low
C152,uber,-973.62,67317,Low
C153,cafe coffee day,-892.77,193433,Low
C153,dmart,-1089.05,174734,Low
C153,flipkart,-1088.78,212012,Low
C153,gym membership,-1200.0,202607,Low
C153,medical store,-960.53,173522,Low
C153,netflix,-499.0,215354,Low
C153,petrol pump,-834.35,183380,Low
C153,reliance smart,-1141.05,175492,Low
C153,zomato,-815.58,178348,Low
C154,cafe coffee day,-1160.43,65172,Low
C154,company,31601.0,75945,Low
C154,electricity bill,-1500.0,61004,Low
C154,flipkart,-1153.63,55960,Low
C154,netflix,-499.0,73615,Low
C154,petrol pump,-1078.62,23124,Low
C154,zomato,-990.46,54580,Low
C155,cafe coffee day,-960.15,60789,Low
C155,flipkart,-932.92,58379,Low
C155,medical store,-1107.76,71227,Low
C155,netflix,-499.0,80024,Low
C155,petrol pump,-927.0,60520,Low
C155,swiggy,-1123.9,63378,Low
C155,zomato,-1050.68,61180,Low
C156,dmart,-1144.2,16118,Low
C156,flipkart,-1193.22,14009,Low
C156,gym membership,-1200.0,34721,Low
C156,medical store,-999.71,20222,Low
C156,reliance smart,-1229.35,15914,Low
C156,zomato,-1230.52,18522,Low
C157,cafe coffee day,-1238.39,32180,Low
C157,dmart,-991.55,19107,Low
C157,electricity bill,-1500.0,21891,Low
C157,flipkart,-955.11,38829,Low
C157,gym membership,-1200.0,27810,Low
C157,medical store,-1102.35,39195,Low
C157,netflix,-499.0,37953,Low
C157,petrol pump,-1275.91,18369,Low
C157,uber,-1275.48,29010,Low
C158,amazon prime,-999.0,36099,Low
C158,cafe coffee day,-1067.5,23966,Low
C158,company,31253.57,50781,Low
C158,electricity bill,-1500.0,37098,Low
C158,flipkart,-1001.12,24600,Low
C158,gym membership,-1200.0,38598,Low
C158,medical store,-893.45,25773,Low
C158,petrol pump,-1077.22,30393,Low
C158,swiggy,-996.63,28909,Low
C158,zomato,-859.82,22674,Low
C159,amazon prime,-999.0,116542,Low
C159,cafe coffee day,-1077.17,123756,Low
C159,dmart,-1149.65,132474,Low
C159,electricity bill,-1500.0,127939,Low
C159,medical store,-837.74,114758,Low
C159,petrol pump,-1067.35,117541,Low
C159,reliance smart,-1011.1,123607,Low
C159,spotify,-199.0,120423,Low
C159,uber,-1086.52,130573,Low
C159,zomato,-1259.95,122496,Low
C16,amazon prime,-999.0,25317,Low
C16,cafe coffee day,-1077.67,18305,Low
C16,flipkart,-1133.59,22471,Low
C16,medical store,-1240.59,30095,Low
C16,petrol pump,-853.05,23989,Low
C16,reliance smart,-1015.92,13738,Low
C16,swiggy,-1000.68,18663,Low
C16,uber,-1059.22,16477,Low
C16,zomato,-1260.35,24968,Low
C160,cafe coffee day,-929.42,61986,Low
C160,dmart,-1017.33,63255,Low
C160,gym membership,-1200.0,79744,Low
C160,medical store,-1088.65,62626,Low
C160,netflix,-499.0,70322,Low
C160,reliance smart,-1190.29,67046,Low
C160,swiggy,-1108.74,63115,Low
C160,zomato,-1074.14,64841,Low
C161,amazon prime,-999.0,189,Low
C161,cafe coffee day,-1147.06,189,Low
C161,dmart,-1015.83,189,Low
C161,medical store,-1050.09,189,Low
C161,reliance smart,-1233.47,189,Low
C161,spotify,-199.0,189,Low
C161,zomato,-1175.72,388,Low
C162,amazon prime,-999.0,61239,Low
C162,company,38132.17,87802,Low
C162,flipkart,-1228.53,80785,Low
C162,medical store,-1255.75,65126,Low
C162,petrol pump,-1003.68,62238,Low
C162,swiggy,-1066.04,70495,Low
C162,uber,-1114.29,59901,Low
C162,zomato,-997.09,57803,Low
C163,cafe coffee day,-960.36,13122,Low
C163,company,34021.67,45368,Low
C163,dmart,-963.5,14246,Low
C163,electricity bill,-1500.0,37919,Low
C163,flipkart,-927.95,26743,Low
C163,gym membership,-1200.0,20883,Low
C163,petrol pump,-1153.04,15736,Low
C163,reliance smart,-1081.9,20530,Low
C163,spotify,-199.0,34222,Low
C163,swiggy,-1002.0,25672,Low
C164,gym membership,-1200.0,37793,Low
C164,medical store,-977.89,40954,Low
C164,reliance smart,-1145.32,28871,Low
C164,swiggy,-949.62,27624,Low
C164,zomato,-1073.08,27981,Low
C165,amazon prime,-999.0,113114,Low
C165,cafe coffee day,-1070.58,103324,Low
C165,dmart,-888.79,110627,Low
C165,medical store,-1001.84,124410,Low
C165,netflix,-499.0,122318,Low
C165,petrol pump,-748.0,105184,Low
C165,reliance smart,-886.72,107392,Low
C165,spotify,-199.0,111259,Low
C165,swiggy,-1120.09,109100,Low
C165,uber,-958.0,115589,Low
C165,zomato,-1060.86,114113,Low
C166,cafe coffee day,-1025.0,216761,Low
C166,dmart,-947.37,227804,Low
C166,flipkart,-1128.19,215433,Low
C166,gym membership,-1200.0,235393,Low
C166,medical store,-1019.38,226398,Low
C166,reliance smart,-824.61,228995,Low
C166,spotify,-199.0,237968,Low
C166,swiggy,-1065.03,215716,Low
C166,uber,-1109.05,199617,Low
C166,zomato,-1144.43,219598,Low
C167,amazon prime,-999.0,175976,Low
C167,cafe coffee day,-1050.5,166237,Low
C167,flipkart,-963.76,176975,Low
C167,gym membership,-1200.0,140022,Low
C167,reliance smart,-1035.62,167857,Low
C167,swiggy,-961.36,181175,Low
C167,zomato,-1405.62,163095,Low
C168,amazon prime,-999.0,43358,Low
C168,cafe coffee day,-996.79,34904,Low
C168,dmart,-990.89,38585,Low
C168,flipkart,-1034.4,45892,Low
C168,gym membership,-1200.0,62310,Low
C168,medical store,-1038.62,1,Low
C168,reliance smart,-1088.0,36683,Low
C168,uber,-1020.95,33068,Low
C168,zomato,-1022.35,41326,Low
C169,amazon prime,-999.0,1,Low
C169,cafe coffee day,-930.87,1,Low
C169,electricity bill,-1500.0,1,Low
C169,flipkart,-999.94,1,Low
C169,medical store,-1020.52,1,Low
C169,petrol pump,-1061.12,1,Low
C169,reliance smart,-1143.83,1,Low
C169,uber,-1105.6,1,Low
C17,company,31441.71,82919,Low
C17,dmart,-1104.79,57514,Low
C17,electricity bill,-1500.0,62119,Low
C17,medical store,-1166.62,70367,Low
C17,netflix,-499.0,74407,Low
C17,petrol pump,-902.62,54578,Low
C17,reliance smart,-730.29,63619,Low
C17,spotify,-199.0,67263,Low
C17,swiggy,-906.63,64598,Low
C170,dmart,-900.77,91,Low
C170,flipkart,-1133.76,91,Low
C170,medical store,-1014.86,91,Low
C170,netflix,-499.0,91,Low
C170,petrol pump,-966.48,91,Low
C170,reliance smart,-1179.89,91,Low
C170,spotify,-199.0,91,Low
C170,swiggy,-1142.0,91,Low
C170,uber,-1169.91,91,Low
C170,zomato,-1204.86,91,Low
C171,dmart,-1161.52,353,Low
C171,flipkart,-1210.23,8345,Low
C171,medical store,-1004.24,1345,Low
C171,netflix,-499.0,13595,Low
C171,petrol pump,-1195.95,5877,Low
C171,reliance smart,-1027.79,142,Low
C171,uber,-1197.95,9197,Low
C172,dmart,-1145.43,99606,Low
C172,electricity bill,-1500.0,112889,Low
C172,flipkart,-941.26,92603,Low
C172,gym membership,-1200.0,93691,Low
C172,medical store,-1240.16,98179,Low
C172,petrol pump,-743.5,93192,Low
C172,reliance smart,-1064.71,91548,Low
C172,swiggy,-1053.04,100926,Low
C172,uber,-1055.22,114389,Low
C173,dmart,-1076.31,40723,Low
C173,electricity bill,-1500.0,44744,Low
C173,flipkart,-1122.0,36685,Low
C173,netflix,-499.0,44245,Low
C173,petrol pump,-952.25,38020,Low
C173,swiggy,-1142.21,39083,Low
C173,uber,-954.71,52515,Low
C173,zomato,-965.43,37713,Low
C174,cafe coffee day,-1046.14,75935,Low
